artists,genres
skillet,"['alternative metal', 'christian alternative rock', 'christian music', 'christian rock']"
ludvig forssell,"['anime', 'video game music']"
brian delgado,['epicore']
calapm,['epicore']
sami j. laine,['epicore']
jaidan van diepen,['epicore']
isaak wolf,[]
kp wolfe,[]
ignabui,['anime game']
architects,"['mathcore', 'melodic metalcore', 'metalcore', 'progressive metalcore', 'uk metalcore']"
the electric swing circus,['electro swing']
mono inc.,"['dark rock', 'german alternative rock', 'medieval rock', 'neue deutsche harte']"
ðñññð²ñðµ ðññ,['Unknown']
everyone loves a villain,['gymcore']
die apokalyptischen reiter,"['folk metal', 'german heavy metal', 'german metal', 'medieval rock']"
heroic,[]
maraton,['danish electronic']
maisy kay,[]
sebastian forslund,[]
written by wolves,"['gymcore', 'post-screamo']"
timecop1983,"['cyberpunk', 'synthwave']"
brides of lucifer,['belgian metal']
anna mirani,[]
dk-zero,['industrial pop']
cuestack,[]
patty gurdy,"['hurdy-gurdy', 'medieval rock']"
we are the catalyst,"['pixie', 'slayer']"
ozzy osbourne,"['album rock', 'alternative metal', 'birmingham metal', 'classic rock', 'glam metal', 'hard rock', 'metal', 'rock']"
guns n' roses,"['glam metal', 'hard rock', 'rock']"
simple minds,"['album rock', 'dance rock', 'new romantic', 'new wave', 'new wave pop', 'rock', 'scottish new wave', 'soft rock']"
starship,"['album rock', 'classic rock', 'mellow gold', 'new romantic', 'new wave pop', 'soft rock', 'synthpop']"
tears for fears,"['new romantic', 'new wave', 'new wave pop', 'permanent wave', 'rock', 'sophisti-pop', 'synthpop']"
runâd.m.c.,[]
bob marley & the wailers,"['reggae', 'roots reggae']"
motã¶rhead,['Unknown']
phil collins,"['rock drums', 'soft rock']"
quiet riot,"['album rock', 'classic rock', 'glam metal', 'hard rock', 'metal', 'rock']"
toto,"['album rock', 'classic rock', 'hard rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']"
lenny kravitz,"['permanent wave', 'rock']"
sonique,[]
natalie imbruglia,"['dance pop', 'europop', 'lilith', 'new wave pop', 'pop rock']"
la bouche,"['diva house', 'eurodance', 'europop', 'german techno']"
alice in chains,"['alternative metal', 'alternative rock', 'grunge', 'hard rock', 'nu metal', 'rock']"
pearl jam,"['alternative metal', 'alternative rock', 'classic rock', 'grunge', 'hard rock', 'permanent wave', 'rock']"
pretenders,"['album rock', 'classic rock', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'permanent wave', 'rock', 'soft rock']"
stone temple pilots,"['alternative metal', 'alternative rock', 'classic rock', 'grunge', 'hard rock', 'nu metal', 'post-grunge', 'rock']"
wet wet wet,"['boy band', 'new romantic', 'new wave pop', 'soft rock', 'sophisti-pop']"
enrique iglesias,"['dance pop', 'latin pop', 'mexican pop']"
filter,"['alternative metal', 'alternative rock', 'grunge', 'industrial metal', 'nu metal', 'post-grunge']"
pantera,"['alternative metal', 'groove metal', 'hard rock', 'metal', 'nu metal', 'old school thrash', 'rock', 'texas metal']"
megadeth,"['alternative metal', 'hard rock', 'melodic thrash', 'metal', 'old school thrash', 'rock', 'speed metal', 'thrash metal']"
boyz ii men,"['boy band', 'contemporary r&b', 'new jack swing', 'r&b', 'urban contemporary']"
culture beat,"['eurodance', 'europop', 'german techno', 'hip house']"
mr. big,"['glam metal', 'hard rock']"
londonbeat,['hip house']
lisa loeb,"['ectofolk', 'lilith', 'new wave pop', 'pop rock', 'singer-songwriter']"
suicidal tendencies,"['alternative metal', 'california hardcore', 'crossover thrash', 'funk metal', 'hard rock', 'hardcore punk', 'metal', 'nu metal', 'old school thrash', 'punk', 'thrash metal']"
anastacia,['pop soul']
jeff buckley,"['melancholia', 'permanent wave', 'singer-songwriter']"
primus,"['alternative metal', 'alternative rock', 'funk metal', 'funk rock', 'grunge', 'nu metal']"
vanessa williams,"['contemporary r&b', 'disco', 'quiet storm', 'urban contemporary']"
faith hill,"['contemporary country', 'country', 'country dawn', 'country road']"
rod stewart,"['mellow gold', 'soft rock']"
all-4-one,"['boy band', 'contemporary r&b', 'r&b']"
the blanko,['finnish alternative rock']
merta,"['classical piano', 'nordic classical piano']"
scott matthew,[]
porcelain pill,[]
beast in black,"['finnish heavy metal', 'finnish power metal', 'power metal']"
phrenia,['hungarian rock']
sleeping wolf,"['bossbeat', 'indie poptimism']"
priest,"['album rock', 'alternative metal', 'birmingham metal', 'glam metal', 'hard rock', 'metal', 'rock']"
russkaja,"['gypsy punk', 'russian punk', 'russian ska']"
fall of envy,"['gymcore', 'hard alternative']"
miyavi,['visual kei']
bloodywood,"['comic metal', 'indian metal']"
one desire,"['finnish hard rock', 'finnish metal', 'melodic hard rock']"
self deception,['swedish alternative rock']
blind channel,"['oulu metal', 'trancecore']"
tre watson,[]
emigrate,"['industrial metal', 'neue deutsche harte']"
my indigo,[]
lena scissorhands,"['hel', 'slayer']"
peratus,[]
endway,[]
blackmore's night,['Unknown']
mell,"['melodic rap', 'rap']"
orden ogan,"['folk metal', 'german metal', 'german power metal', 'power metal', 'symphonic metal']"
mcc [magna carta cartel],[]
violet orlandi,['hel']
rudelies,"['future bounce', 'gaming edm', 'pop edm']"
mooski,['alabama rap']
reece taylor,[]
florence nevada,[]
edson faiolli,[]
trip40,[]
plesco,[]
excision,"['brostep', 'canadian electronic', 'filthstep']"
murakami,['norwegian pop rap']
cyhra,"['gothenburg metal', 'melodic metal']"
hotei,[]
leader,"['djent', 'instrumental djent', 'instrumental rock', 'jazz metal', 'progressive jazz fusion', 'progressive metal']"
the dark element,"['finnish power metal', 'gothic metal', 'gothic symphonic metal', 'melodic metal', 'power metal', 'slayer', 'symphonic metal', 'symphonic power metal']"
dommin,[]
imascore,['epicore']
imperial age,"['melodic metal', 'opera metal', 'russian metal', 'symphonic metal', 'symphonic power metal']"
eluveitie,"['celtic metal', 'folk metal', 'gothic metal', 'gothic symphonic metal', 'hurdy-gurdy', 'power metal', 'swiss metal', 'symphonic metal']"
nemesea,"['dutch metal', 'gothic metal', 'gothic symphonic metal', 'pixie', 'slayer', 'symphonic metal']"
double experience,[]
heaven shall burn,"['german melodeath', 'german metalcore', 'melodic death metal', 'melodic metalcore', 'metalcore']"
vault 51,['gymcore']
sightless in shadow,[]
grottesque,['russian metal']
memoremains,"['melodic metal', 'slayer', 'symphonic metal']"
orbit culture,"['melodic death metal', 'swedish melodeath']"
alkonost,"['folk black metal', 'folk metal', 'russian folk metal', 'russian folk rock', 'russian metal', 'slavic folk metal', 'slavic metal']"
go!! light up!,[]
sabaton,"['power metal', 'swedish metal', 'swedish power metal']"
tattoo the scars,['gymcore']
gloryhammer,"['british power metal', 'comic metal', 'fantasy metal', 'melodic metal', 'power metal', 'scottish metal', 'symphonic metal']"
umc,"['comic metal', 'metal cover']"
douglas robb,[]
london symphony orchestra,"['british orchestra', 'classical', 'orchestra']"
brother firetribe,"['finnish hard rock', 'melodic hard rock']"
co-lab,['classify']
last cadence,[]
gus mcarthur,[]
autumn kings,['windsor on indie']
illumishade,"['gothic symphonic metal', 'melodic metal', 'slayer', 'symphonic metal', 'symphonic power metal']"
4th point,[]
ryan greaves,[]
shining,[]
thomas loupe,[]
lec,['christian hip hop']
diabulus in musica,"['fallen angel', 'gothic metal', 'gothic symphonic metal', 'opera metal', 'slayer', 'symphonic metal', 'symphonic power metal']"
incura,['progressive alternative']
koethe,[]
sin shake sin,"['modern alternative rock', 'rebel blues']"
megaherz,['neue deutsche harte']
viza,['gypsy punk']
velvet code,[]
brave the royals,[]
normandie,[]
hazen,['hardcore']
blinding sunrise,['otacore']
kerbera,['swedish post-hardcore']
jimmy gnecco,['video game music']
sonic symphony,['epicore']
shinedown,"['alternative metal', 'nu metal', 'post-grunge']"
ash,"['alternative pop rock', 'neon pop punk', 'pop emo', 'texas pop punk']"
egypt central,"['christian rock', 'post-grunge', 'rap rock']"
the sixth lie,['j-pixie']
silvervale,[]
swarm,['dark clubbing']
shaman's harvest,['post-grunge']
all good things,['rebel blues']
ðñðºð¸,"['album rock', 'classic rock', 'mellow gold', 'rock', 'singer-songwriter', 'soft rock', 'yacht rock']"
the hu,"['album rock', 'classic rock', 'hard rock', 'mellow gold', 'new romantic', 'new wave pop', 'rock', 'singer-songwriter', 'soft rock']"
sammy boller,[]
dccm,['post-screamo']
8-bit arcade,['8-bit']
go shiina,[]
tardigrade inferno,[]
treat,"['modern country pop', 'texas country']"
tuomas holopainen,[]
christopher bowes and his plate of beans,[]
the dreaming,[]
jordan radvansky,[]
the mowex,[]
3lation,[]
zanoii,[]
donna burke,[]
escape the day,"['gymcore', 'swedish metalcore', 'trancecore']"
brighter than a thousand suns,['post-post-hardcore']
timeless miracle,"['fantasy metal', 'melodic metal', 'symphonic power metal']"
mk,"['alternative pop rock', 'neon pop punk', 'pop emo', 'texas pop punk']"
earlyrise,"['gothic alternative', 'pixie']"
shokran,"['djent', 'russian metalcore']"
arion,"['finnish metal', 'finnish power metal', 'gothic symphonic metal', 'melodic metal', 'power metal', 'symphonic metal']"
deltalphaxray,[]
sanityzer,[]
re:tye,['otacore']
xillions,['pop edm']
defences,['gymcore']
superfly,['j-pop']
sabadu,[]
damso,"['belgian hip hop', 'french hip hop', 'pop urbaine', 'r&b francais', 'rap belge', 'rap conscient']"
i:scintilla,"['industrial metal', 'steampunk']"
disko warp,[]
autopilot off,[]
drea,[]
1551,[]
jorn,[]
saffari,"['chillsynth', 'synthwave']"
claes rosen,"['progressive trance house', 'swedish electronic']"
gregory esayan,"['progressive breaks', 'progressive trance house']"
we are one,['christian pop']
figure,"['reggae fusion', 'reggae rock']"
slushii,"['brostep', 'edm', 'future bass', 'pop dance']"
puddle of mudd,"['alternative metal', 'nu metal', 'post-grunge']"
anberlin,['pop emo']
the used,"['alternative metal', 'neon pop punk', 'pop emo', 'post-grunge', 'post-hardcore', 'screamo']"
rev theory,"['alternative metal', 'nu metal', 'post-grunge', 'rebel blues']"
pop smoke,"['brooklyn drill', 'hip hop', 'rap']"
skrillex,"['brostep', 'complextro', 'edm', 'electro', 'pop dance']"
kongos,"['modern alternative rock', 'modern blues rock', 'south african rock']"
senses fail,"['emo', 'metalcore', 'neon pop punk', 'pop punk', 'post-hardcore', 'screamo']"
the script,"['celtic rock', 'pop']"
panic! at the disco,['pop']
flipsyde,['oakland hip hop']
coheed and cambria,['modern alternative rock']
mudvayne,"['alternative metal', 'industrial metal', 'nu metal', 'rap metal']"
creed,"['album rock', 'classic rock', 'country rock', 'mellow gold', 'rock', 'southern rock', 'swamp rock']"
trapt,"['alternative metal', 'nu metal', 'post-grunge']"
dropkick murphys,"['boston punk', 'boston rock', 'celtic punk', 'celtic rock', 'punk']"
tasadi,[]
aurora b.polaris,[]
g_p_5,[]
bea miller,"['alt z', 'pop', 'talent show']"
caster,['emoplugg']
elodin,[]
schiller,['german techno']
julian gray,[]
solis & sean truby,"['progressive trance', 'progressive uplifting trance', 'uplifting trance']"
mehãlove,[]
joda,[]
andrew robbixen,[]
alex wright,"['progressive trance', 'uplifting trance']"
avoure,"['melodic house', 'melodic techno']"
zero-project,"['euphoric hardstyle', 'rawstyle']"
vanguard sound,['japanese vgm']
morbid fears,[]
elliptik,[]
arnaud roy,['video game music']
asketa & natan chaim,[]
alan lennon,['epicore']
welle: erdball,"['bitpop', 'ebm', 'medieval rock']"
oneohkay,[]
key puncher,[]
sanixels,[]
draeden,[]
oscillian,"['cyberpunk', 'synthwave']"
apollo nash,['progressive trance']
a. yarmak,[]
b0unc3,[]
bad computer,['complextro']
kisshi,[]
prxzm,['indie electropop']
x-rl7,[]
halflives,['pixie']
we are fury,['traprun']
ytho,['wave']
ian snow,[]
killrude,[]
cjbeards,['dark r&b']
wnro,[]
we rabbitz,[]
psylla,[]
tri state corner,[]
cosmic flow,['progressive psytrance']
cosmonet,"['full on', 'trance brasileiro']"
dartside,[]
alchimyst,[]
raz,['israeli folk']
tris mikal,[]
synthetic system,['trance brasileiro']
more plastic,['gaming edm']
blitz union,[]
thomas vent,['rebel blues']
phil rey gibbons,[]
coldrain,"['j-rock', 'japanese post-hardcore', 'metalcore']"
888,[]
isolated,['melodic dubstep']
the witch kids,[]
antartiq,[]
daedric,[]
lekid,[]
konceal,[]
invisions,"['melodic metalcore', 'metalcore', 'nu-metalcore']"
wawa,"['jawaiian', 'pacific islands pop']"
ultrakiller,"['darksynth', 'horror synth']"
entropy zero,['future rock']
vadai,[]
plamenev,[]
oneno,[]
flesh field,"['aggrotech', 'electro-industrial', 'futurepop', 'industrial metal']"
hvdes,"['dark clubbing', 'electra']"
wednxsday,[]
neptunica,"['german dance', 'hypertechno']"
stringstorm,[]
audiomachine,['epicore']
ravanna,['russian metalcore']
shogun taira,[]
pantherium,[]
woodscream,"['russian folk metal', 'slavic folk metal', 'slavic metal']"
kloud,[]
ezitsuj,[]
quinn karter,[]
m()re,[]
æ¸ç°ä¿¡å­ãé£åä¸ç,[]
goja,['slap house']
cyberpunkers,['electro trash']
leet mob,[]
dead silence hides my cries,[]
harmonix college,[]
neuroticfish,"['aggrotech', 'ebm', 'electro-industrial', 'futurepop']"
rob & chris,"['jam band', 'modern blues', 'roots rock', 'southern rock']"
writing the future,['swedish metalcore']
zone tripper,['spacesynth']
vere dictum,['russian punk rock']
audrey fall,"['instrumental post-rock', 'post-rock']"
break my fucking sky,"['instrumental post-rock', 'russian post-rock']"
kris sobanski,[]
diatomic,[]
onlap,['gymcore']
sebastian bã¶hm,['Unknown']
inuma,[]
capturez,[]
vernian process,"['dark cabaret', 'steampunk']"
aspen,[]
fgfc820,['aggrotech']
william black,"['melodic dubstep', 'pop edm']"
siamese youth,['popwave']
rawtekk,"['darkstep', 'german dnb', 'neurofunk']"
liv sin,['mantra']
mewone!,['russian dnb']
fraser edwards,"['british power metal', 'scottish metal']"
novelists,"['djent', 'melodic metalcore', 'metalcore']"
cdk,[]
iwantsummer,['russian post-rock']
aura shred,[]
sekai,[]
jerome,[]
cyazon,[]
dallas stars,['rebel blues']
ultraboss,"['nightrun', 'synthwave']"
ned mcphie,[]
lau,[]
clamavi de profundis,['middle earth']
geoff castellucci,[]
the dreadnoughts,"['celtic rock', 'pirate', 'shanty', 'vancouver punk']"
mangoo,['swedish eurodance']
daddy dj,[]
future idiots,['punk cover']
danzel,[]
captain jack,"['eurodance', 'german techno']"
gliese,[]
pat benesta,[]
reel 2 real,"['eurodance', 'hip house']"
paul elstak,"['happy hardcore', 'hardcore techno', 'nederlandse hardstyle', 'nu gabber']"
a touch of class,['europop']
sigmao,[]
french affair,"['eurodance', 'italo dance']"
corona,[]
dj aligator,['eurodance']
dance time trio,[]
dj gollum,"['german dance', 'hands up']"
red revision,[]
fun mode,['russian alternative rock']
bishu,['bass trap']
arctica,"['finnish power metal', 'gothic symphonic metal', 'lapland metal', 'metal', 'neo classical metal', 'power metal', 'progressive metal', 'symphonic metal']"
b3lla,"['hardwave', 'korean electronic']"
alesti,['gymcore']
buffalo jones,[]
ðððððgðgðð,['funk viral']
myth,[]
no sleep for lucy,[]
hillions,[]
7 days in alaska,[]
thousand thoughts,['uk metalcore']
dark signal,['gymcore']
dead by april,"['swedish alternative rock', 'swedish metalcore', 'trancecore']"
piper.ally,[]
gã¼nther,['Unknown']
little big,"['contemporary country', 'country', 'country dawn', 'country road']"
blu j,"['pop', 'pop dance', 'tropical house', 'uk dance']"
sunburst,"['deep house', 'soulful house']"
rock band from hell,['finnish pop punk']
roborg,"['cyberpunk', 'darksynth', 'synthwave']"
deep as ocean,['italian metalcore']
grim fables,[]
zynic,"['dark electro', 'futurepop', 'neo-synthpop']"
valhalore,"['australian metal', 'folk metal']"
winning team,"['deep big room', 'finnish dance pop', 'finnish edm']"
the silverblack,['industrial metal']
everen maxwell,['speedrun']
lxst boys,[]
exotype,"['electronic djent', 'trancecore']"
connor grail,[]
b-bass vs. dj mds,[]
lenny,"['reggaeton', 'trap argentino', 'trap latino', 'urbano latino']"
x-rx,['aggrotech']
behind the scenes,['dark rock']
taro,['hollywood']
pakito,[]
modjo,"['disco house', 'filter house']"
o-zone,"['eurodance', 'europop', 'moldovan pop']"
2 unlimited,"['eurodance', 'europop', 'hip house']"
alex gaudino,"['disco house', 'vocal house']"
gala,[]
blã¼mchen,['pop']
rednex,"['eurodance', 'europop', 'swedish country']"
barcode brothers,"['bubble trance', 'danish electronic', 'eurodance']"
2 brothers on the 4th floor,"['eurodance', 'hip house']"
mo-do,"['belarusian indie', 'russian post-punk', 'sovietwave']"
infernal,['eurodance']
dr. bombay,['bubblegum dance']
michael calfan,"['dutch house', 'edm', 'electro house', 'house', 'pop dance', 'progressive electro house', 'progressive house']"
catarinth,[]
diztord,[]
infraction,['dark clubbing']
lunity,[]
lockyn,['speedrun']
n o w a v e,"['classical performance', 'orchestral performance']"
falkerry,[]
the mvi,[]
shadyvox,"['otacore', 'pixel']"
sean mathews,['progressive uplifting trance']
qsie,[]
vincent vendetta,[]
victorius,[]
nekonomicon,[]
neimer,[]
shadow domain,"['cyber metal', 'future rock']"
dystonal,[]
munro,[]
sea of thieves,['pirate']
cami-cat,"['otacore', 'pixel']"
brothers of metal,"['melodic metal', 'power metal', 'swedish heavy metal']"
critical role,[]
bloodbound,"['melodic metal', 'power metal', 'swedish heavy metal', 'swedish power metal', 'symphonic metal']"
peyton parrish,[]
seth staton watkins,['shanty']
sugar,"['alternative metal', 'funk metal', 'pop rock', 'post-grunge']"
made of light,[]
def rock,['tribute']
extize,['aggrotech']
ken blast,"['eurobeat', 'super eurobeat']"
illumenium,['Unknown']
xijaro,"['dutch trance', 'uplifting trance']"
hydelic,[]
sound of champion,[]
bestrack,['synthwave']
khwezi,[]
outrage,[]
pillar,"['christian alternative rock', 'christian rock']"
dj t.h.,"['german trance', 'progressive trance']"
the ramparts,[]
musiclide,"['otacore', 'pixel']"
a broken silence,"['gymcore', 'post-screamo']"
meinhard,['volkstumliche musik']
uamee,[]
streambeats originals,['game mood']
united sexi boyz,[]
arkady ostrovsky,[]
fade,[]
the l-train,"['hindi indie', 'indian indie', 'indian rock', 'new delhi indie']"
teneki,['hardwave']
manntra,"['balkan folk metal', 'croatian metal', 'croatian rock', 'medieval rock']"
rumahoy,['pirate']
berioska,['anime latino']
eleventyseven,['alternative pop rock']
courtney jenaã©,['Unknown']
button,[]
revenant,[]
poor man's poison,['deathgrass']
unleash the archers,"['gothic symphonic metal', 'melodic metal', 'power metal', 'symphonic metal', 'vancouver metal']"
fred again..,"['edm', 'house', 'stutter house']"
jeremy vancaulart,['canadian electronic']
tekno,"['afrobeats', 'afropop', 'nigerian hip hop', 'nigerian pop']"
nightlapse,['tech house']
dusky,"['deep house', 'future garage', 'house']"
say say,['gym phonk']
3rd prototype,['gaming edm']
axel boy,"['bass house', 'bassline', 'brostep', 'gaming dubstep']"
giolã¬ & assia,['Unknown']
rezz,[]
2wei,['epicore']
the walkers,[]
oliverse,"['brostep', 'dubstep']"
zeus x crona,['indian edm']
zeds dead,"['brostep', 'canadian electronic', 'dubstep', 'edm', 'electro house', 'progressive electro house']"
swan meat,"['deconstructed club', 'experimental club', 'experimental electronic', 'grimewave']"
benjamin wallfisch,"['british soundtrack', 'deep soundtrack', 'soundtrack']"
the tech thieves,['dark r&b']
vesk green,[]
timmy trumpet,"['australian dance', 'big room', 'melbourne bounce', 'melbourne bounce international', 'pop dance']"
rival,[]
kuuro,"['bass trap', 'game mood']"
richard caddock,['gaming edm']
awakend,"['melodic dubstep', 'pop edm']"
egzod,[]
moore kismet,"['dubstep', 'gaming dubstep']"
kayzo,"['brostep', 'speed house']"
chime,"['brostep', 'dubstep', 'gaming dubstep', 'melodic dubstep']"
kordhell,['drift phonk']
atsy,['indonesian edm']
yosh,[]
daisuke ishiwatari,['japanese vgm']
cern,"['classic czech pop', 'czech country', 'czech folk']"
the dualz,"['melodic house', 'melodic techno']"
elton john,"['glam rock', 'mellow gold', 'piano rock', 'rock']"
laura van dam,['dutch edm']
the primals,['japanese vgm']
annerley,['super eurobeat']
valorant,['video game music']
skytech,['big room']
void_chords,[]
æåé³æ¨,[]
last soldier,"['progressive trance', 'tech trance', 'uplifting trance']"
nicholas gunn,['new age']
cubicore,['progressive trance']
hodel,"['experimental poetry', 'musique concrete', 'swedish experimental']"
diplo,"['dance pop', 'edm', 'electro house', 'moombahton', 'pop dance']"
metta & glyde,"['tech trance', 'uplifting trance']"
sixth ocean,[]
karen overton,['deep progressive trance']
andy duguid,"['progressive house', 'progressive trance', 'trance', 'uplifting trance']"
interstate,['jazz house']
exis,['rock kapak']
chris reece,[]
equador,[]
josh gabriel,['deep uplifting trance']
christopher corrigan,[]
steve dekay,"['progressive trance', 'uplifting trance']"
ennja,['wave']
blr,[]
perpetual loop,"['ambient psychill', 'psychill']"
steve allen,"['progressive trance', 'progressive uplifting trance', 'trance', 'uplifting trance']"
emmanuel motelin,[]
this culture,[]
matias lehtola,[]
the forgotten,[]
twin view,['russian trance']
ehren stowers,['progressive trance']
newclaess,['german dance']
will rees,['background piano']
luke anders,"['color noise', 'white noise']"
fahjah,['speed house']
angelus,"['glitchcore', 'hyperpop']"
we are loud,['dutch edm']
nomadsignal,[]
leon bolier,"['dutch trance', 'trance', 'uplifting trance']"
bogdan vix,"['progressive trance', 'progressive uplifting trance', 'uplifting trance']"
ferrin & morris,['progressive uplifting trance']
faderx,['future house']
mark digital,[]
pavel khvaleev,['russian edm']
miyuki,['japanese singer-songwriter']
forty cats,['melodic house']
rydex,['russian trance']
dimibo,[]
envio,['metal cover']
aurora night,[]
paul skelton,[]
gal abutbul,[]
alok,"['electro house', 'pop nacional', 'slap house']"
subsequent,[]
sophie straat,['dutch indie']
henry,['neo-classical']
sub:liminal,['liquid funk']
origin8a & propa,['hardcore breaks']
umax,[]
abakus,"['progressive breaks', 'psychill']"
ludique,['substep']
pain,"['dance pop', 'gangster rap', 'hip hop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap', 'urban contemporary']"
soilwork,"['alternative metal', 'groove metal', 'melodic death metal', 'melodic groove metal', 'melodic metalcore', 'nu metal', 'swedish death metal', 'swedish melodeath', 'swedish metal']"
igorrr,"['avant-garde metal', 'breakcore', 'cybergrind', 'french metal', 'opera metal']"
nine inch nails,"['alternative metal', 'alternative rock', 'cyberpunk', 'electronic rock', 'grunge', 'industrial', 'industrial metal', 'industrial rock', 'nu metal', 'post-grunge', 'rock']"
astral projection,['psychedelic trance']
the servant,['british alternative rock']
serj tankian,"['alternative metal', 'nu metal']"
punctual,"['pop dance', 'uk dance']"
younotus,['german dance']
mike williams,"['big room', 'dutch house', 'edm', 'electro house', 'future house', 'pop dance', 'progressive electro house']"
lost kings,"['pop dance', 'pop edm']"
rnbstylerz,['klubowe']
drove,['future bounce']
rayn,[]
taska black,"['bass trap', 'future bass', 'pop edm', 'vapor twitch']"
regard,"['pop dance', 'pop edm', 'slap house', 'uk dance']"
braaheim,"['covertronica', 'hypertechno', 'slap house']"
syn cole,"['deep tropical house', 'edm', 'pop dance', 'pop edm', 'progressive electro house', 'tropical house']"
clean bandit,"['pop', 'uk dance', 'uk funky']"
piece wise,['chill house']
jaakob,[]
maone,[]
steve kroeger,"['canadian electronic', 'slap house', 'tropical house']"
birdy,"['neo mellow', 'uk pop', 'viral pop']"
keanu silva,['future house']
aluna,"['electropop', 'house', 'uk dance']"
felon,"['g funk', 'san diego rap', 'west coast rap']"
brando,"['ccm', 'worship']"
bonnie x clyde,['electra']
kito,['electra']
kx5,[]
ãgm,[]
dillon francis,"['brostep', 'edm', 'electro house', 'moombahton', 'pop dance', 'progressive electro house', 'slap house']"
meduza,"['edm', 'pop dance', 'pop house', 'uk dance']"
toby romeo,[]
yves v,"['belgian edm', 'dutch house', 'edm', 'electro house', 'pop dance', 'progressive electro house', 'progressive house', 'slap house']"
imanbek,"['electro house', 'pop dance', 'slap house']"
martin jensen,"['danish electronic', 'edm', 'pop dance']"
vinai,"['dutch house', 'edm', 'electro house', 'melbourne bounce international', 'pop dance', 'progressive electro house', 'slap house']"
acraze,"['pop dance', 'tech house']"
dynoro,['edm']
felix jaehn,"['edm', 'german dance', 'pop dance', 'tropical house', 'uk dance']"
ofenbach,['pop dance']
jax jones,"['dance pop', 'edm', 'house', 'pop dance', 'uk dance']"
dvbbs,"['canadian electronic', 'dutch house', 'edm', 'electro house', 'pop dance', 'progressive electro house', 'slap house']"
minelli,['romanian pop']
topic,"['german dance', 'pop dance', 'pop edm', 'uk dance']"
tujamo,"['dutch house', 'edm', 'electro house', 'melbourne bounce', 'pop dance', 'progressive electro house']"
jonas blue,"['pop', 'pop dance', 'tropical house', 'uk dance']"
hot shade,[]
alle farben,"['deep euro house', 'german dance']"
lucas estrada,"['deep pop edm', 'swedish tropical house']"
marc benjamin,"['big room', 'dutch edm', 'slap house']"
jay pryor,"['deep groove house', 'house']"
gabry ponte,"['eurodance', 'italo dance', 'slap house']"
plastik funk,['pop house']
fortella,[]
don diablo,"['dutch house', 'edm', 'electro house', 'future house', 'pop dance', 'progressive electro house']"
drenchill,['pop edm']
sigala,"['dance pop', 'edm', 'pop dance', 'uk dance']"
auris,['ocean']
artino,[]
tritional,[]
melinki,"['liquid funk', 'uk dnb']"
moti,"['alternative metal', 'metalcore']"
telykast,[]
mahalo,[]
dannic,"['dutch edm', 'dutch house', 'edm', 'electro house', 'pop dance', 'progressive electro house', 'progressive house', 'sky room']"
micah ariss,[]
kami kehoe,[]
sail north,[]
geographer,"['bay area indie', 'chillwave', 'indietronica', 'shimmer pop']"
voiceplay,['a cappella']
romy,[]
hoyo-mix,['japanese vgm']
sleepy john,['environmental']
bemax,[]
the blackmordia,[]
john summit,['house']
me & my,"['dark pop', 'shimmer pop']"
exyl,[]
e-rotic,"['eurodance', 'german techno']"
moniqa adams,[]
matt daver,[]
hitoshi sakimoto,['japanese vgm']
masaharu iwata,['japanese vgm']
hiroyuki oda,['japanese progressive house']
billy joel,"['album rock', 'classic rock', 'mellow gold', 'piano rock', 'rock', 'singer-songwriter', 'soft rock']"
rootkit,"['chillstep', 'complextro', 'electro house', 'gaming edm', 'melodic dubstep']"
rich edwards,['gaming edm']
geoxor,['speedrun']
myrne,"['future bass', 'gaming edm', 'melodic dubstep', 'pop edm', 'singaporean electronic', 'singaporean pop', 'vapor twitch']"
tetrix bass,"['deep filthstep', 'gaming edm']"
brooks,"['contemporary country', 'country', 'country road']"
prismo,['bass trap']
botnek,"['bass house', 'canadian electronic', 'electro house']"
subtact,"['future bass', 'gaming edm', 'melodic dubstep']"
disfigure,['gaming edm']
kerli,"['candy pop', 'dark pop', 'estonian pop', 'metropopolis']"
arlow,['gaming edm']
motoi sakuraba (æ¡åº­ çµ±),['Unknown']
p.t. adamczyk,['video game music']
formantx,[]
beat saber,[]
ian tsuchiura,[]
complexities of sound,['epicore']
odyssey eurobeat,['touhou']
cj music,[]
viticz,['singaporean electronic']
gabriel shadid & tobias marberger,[]
bjorn akesson,"['progressive trance', 'progressive uplifting trance', 'trance', 'uplifting trance']"
n-trance,"['eurodance', 'hip house']"
taishi,['japanese progressive house']
vylt,[]
nikke,[]
bill kiley,['indie game soundtrack']
vulpi,[]
bad history,[]
locknar,[]
halvorsen,['gaming edm']
mechanical vein,[]
michael a. levine,['video game music']
lost sky,['gaming edm']
mortis,"['german metal', 'hurdy-gurdy', 'medieval rock', 'neue deutsche harte']"
tim haywood,[]
sota,"['desi pop', 'modern bollywood']"
antigravity,[]
sandor gavin,[]
goodboys,"['pop dance', 'uk dance']"
tep no,"['deep tropical house', 'indie poptimism', 'tropical house']"
two friends,[]
fedde le grand,"['dutch house', 'edm', 'electro house', 'house', 'pop dance', 'progressive electro house', 'progressive house']"
avaion,[]
serhat durmus,"['arab trap', 'turkish trap']"
said the sky,"['melodic dubstep', 'pop edm']"
jai wolf,['electropop']
