artists,genres
jamie christopherson,['video game music']
sean schafianski,['scorecore']
insaneintherainmusic,[]
the megas,"['nerdcore', 'nintendocore']"
video game players,[]
familyjules,['otacore']
familyjules7x,[]
andres sanchez,"['progressive uplifting trance', 'tech trance', 'uplifting trance']"
moog,[]
instrumental core,['epicore']
relient k,"['canadian ccm', 'christian alternative rock', 'christian punk', 'pop punk']"
erock,['metal cover']
ferry tayle,"['progressive house', 'progressive trance', 'progressive uplifting trance', 'trance', 'uplifting trance']"
a himitsu,[]
rainbowdragoneyes,"['chiptune', 'indie game soundtrack']"
scraton,['otacore']
urban rules,['sky room']
arc,['ukrainian indie']
feint,"['chillstep', 'dancefloor dnb']"
scndl,"['melbourne bounce', 'melbourne bounce international']"
meganeko,"['chiptune', 'speedrun']"
neurotech,"['cyber metal', 'slovenian metal']"
grabbitz,['brostep']
matt darey,['trance']
farius,"['progressive house', 'progressive trance']"
joel nielsen,"['canadian soundtrack', 'video game music']"
airbase,"['trance', 'uplifting trance']"
dj mocchi,[]
incubite,['aggrotech']
ronald jenkees,[]
alphazone,"['german techno', 'hard trance']"
prototype-a,[]
a-lusion,"['classic hardstyle', 'euphoric hardstyle', 'rawstyle']"
tsuko g.,"['eurobeat', 'otacore', 'pixel']"
tgc,"['indietronica', 'metropopolis', 'nu disco', 'shimmer pop']"
anubis gate,"['progressive metal', 'progressive power metal']"
phil lober,['epicore']
speo,[]
paul udarov & voicians,['electronicore']
huoratron,"['electro trash', 'finnish edm']"
invocation array,['future rock']
crazyx,[]
skillzmakekillz,[]
glitchxcity,"['lo-fi vgm', 'otacore']"
protoshredanoid,[]
ivã¡n torrent,['Unknown']
j.views,['future ambient']
vikingguitar,[]
kamelot,"['gothic symphonic metal', 'melodic metal', 'metal', 'power metal', 'progressive metal', 'speed metal', 'symphonic metal']"
charlie parra del riego,['peruvian metal']
abandon all ships,"['canadian metalcore', 'canadian post-hardcore', 'metalcore', 'trancecore']"
adhesivewombat,"['chiptune', 'speedrun']"
velvetine,[]
dark oscillators,['classic hardstyle']
zabutom,['chiptune']
shirk,['melodic dubstep']
lange,[]
melodysheep,['downtempo fusion']
ken ashcorp,['otacore']
the chain gang of 1974,['shimmer pop']
nanobii,"['gaming edm', 'kawaii future bass']"
diceuploads,[]
orgy,[]
teknoaxe,[]
taylor davis,"['bow pop', 'pop violin']"
zweihã¤nder,['Unknown']
daniel tera,['nordic house']
algar,['puerto rican rock']
nemistade,[]
girugamesh,"['j-metal', 'visual kei']"
niteppl,[]
danny mccarthy,[]
million colours,[]
nero,[]
basic element,['eurodance']
stellardrone,['space ambient']
kaleptik,[]
martin harp,[]
gost,"['pagode', 'pagode novo']"
gaijin games,['chiptune']
kebu,['spacesynth']
sharax,"['otacore', 'pixel', 'speedrun']"
nitro fun,"['gaming edm', 'speedrun']"
rabbit junk,"['digital hardcore', 'future rock', 'industrial metal']"
stephen baysted,['british soundtrack']
popeska,['filthstep']
module,"['aggrotech', 'ebm', 'electro-industrial', 'industrial metal']"
ppk,['mexican hip hop']
dj zenit,[]
s3rl,"['australian dance', 'freeform hardcore', 'happy hardcore']"
hellberg,"['complextro', 'gaming edm']"
sirensceol,"['complextro', 'gaming edm']"
dubmood,"['chiptune', 'swedish synth']"
dj-jo,"['funk bh', 'funk mtg']"
covox,['chiptune']
rave the reqviem,['future rock']
arkasia,"['chillstep', 'filthstep', 'melodic dubstep']"
airwave,"['pop punk', 'socal pop punk']"
omnitica,['filthstep']
jukio kallio,['indie game soundtrack']
lifeformed,"['bitpop', 'indie game soundtrack', 'taiwan electronic']"
les friction,['epicore']
bossfight,"['chiptune', 'speedrun']"
mitis,"['chillstep', 'complextro', 'filthstep', 'melodic dubstep', 'pop edm']"
freezepop,"['bitpop', 'indietronica', 'neo-synthpop']"
hollywood principle,[]
lauren bousfield,"['breakcore', 'transpop']"
circle of dust,"['future rock', 'industrial metal']"
sugar jesus,['canadian electronic']
big giant circles,['chiptune']
wintergatan,"['folktronica', 'gothenburg indie']"
arcade high,['synthwave']
archie,"['bubblegum pop', 'classic canadian rock', 'rock-and-roll']"
blockheads,['pub rock']
armcannon,"['gamecore', 'nerdcore']"
sgx,[]
lights & motion,"['atmospheric post-rock', 'cinematic post-rock', 'focus', 'nordic post-rock']"
